Name	Emittent	ISIN
INVESCO GLOBAL CLEAN ENERGY ETF 	Invesco Investment Management Ltd. 	IE00BLRB0242 
INVESCO HEALTH CARE S&P US SEL SEC ETF 	Invesco Investment Management Ltd. 	IE00B3WMTH43 
INVESCO INDUSTRIALS S&P US SEL SEC ETF 	Invesco Investment Management Ltd. 	IE00B3YC1100 
INVESCO JPX-NIKKEI 400 ETF 	Invesco Investment Management Ltd. 	IE00BVGC6645 
INVESCO JPX-NIKKEI 400 ETF 	Invesco Investment Management Ltd. 	IE00BPRCH686 
INVESCO KBW NASDAQ FINTECH ETF 	Invesco Investment Management Ltd. 	IE00BYMS5W68 
INVESCO MATERIALS S&P US SELECT SEC ETF 	Invesco Investment Management Ltd. 	IE00B3XM3R14 
INVESCO MDAX ETF 	Invesco Investment Management Ltd. 	IE00BHJYDV33 
INVESCO MORNINGSTAR US ENRGINFRAMLP ETF 	Invesco Investment Management Ltd. 	IE00B94ZB998 
INVESCO MORNINGSTAR US ENRGINFRAMLP ETF 	Invesco Investment Management Ltd. 	IE00B8CJW150 
INVESCO MSCI EM MKTS ESG UNVSL SCRND ETF 	Invesco Investment Management Ltd. 	IE00BMDBMY19 
INVESCO MSCI EMERGING MARKETS ETF 	Invesco Investment Management Ltd. 	IE00B3DWVS88 
INVESCO MSCI EUROPE ESG UNVSL SCRN ETF 	Invesco Investment Management Ltd. 	IE00BJQRDL90 
INVESCO MSCI EUROPE ETF 	Invesco Investment Management Ltd. 	IE00B60SWY32 
INVESCO MSCI EUROPE EX-UK ETF 	Invesco Investment Management Ltd. 	IE00BYX5K108 
INVESCO MSCI EUROPE VALUE ETF 	Invesco Investment Management Ltd. 	IE00B3LK4Z20 
INVESCO MSCI EURP ESGLDRSCATHOLICPPLSETF 	Invesco Investment Management Ltd. 	IE00BG0NY640 
INVESCO MSCI JAPAN ETF 	Invesco Investment Management Ltd. 	IE00B60SX287 
INVESCO MSCI PAC EX JPN ESG UNVSLSCRNETF 	Invesco Investment Management Ltd. 	IE00BMDBMT65 
INVESCO MSCI USA ESG UNIVERSAL SCRN ETF 	Invesco Investment Management Ltd. 	IE00BJQRDM08 
INVESCO MSCI USA ETF 	Invesco Investment Management Ltd. 	IE00B60SX170 
INVESCO MSCI WORLD ESG UNVSL SCRN ETF 	Invesco Investment Management Ltd. 	IE00BJQRDK83 
INVESCO MSCI WORLD ETF 	Invesco Investment Management Ltd. 	IE00B60SX394 
INVESCO NASDAQ BIOTECH ETF 	Invesco Investment Management Ltd. 	IE00BQ70R696 
INVESCO NASDAQ NEXT GNRTN 100 UCITS ETF 	Invesco Investment Management Ltd. 	IE00BMD8KP97 
INVESCO QUANT STRATS ESG GLB EQMLTFCTETF 	Invesco Investment Management Ltd. 	IE00BJQRDN15 
INVESCO S&P 500 ESG ETF 	Invesco Investment Management Ltd. 	IE00BKS7L097 
INVESCO S&P 500 ETF 	Invesco Investment Management Ltd. 	IE00BYML9W36 
INVESCO S&P 500 ETF 	Invesco Investment Management Ltd. 	IE00BRKWGL70 
INVESCO S&P 500 ETF 	Invesco Investment Management Ltd. 	IE00B3YCGJ38 
INVESCO S&P 500 HIGH DIV LOW VOL ETF 	Invesco Investment Management Ltd. 	IE00BWTN6Y99 
INVESCO SOLAR ENERGY ETF 	Invesco Investment Management Ltd. 	IE00BM8QRZ79 
INVESCO STOXX EUROPE 600 ETF 	Invesco Investment Management Ltd. 	IE00B60SWW18 
INVESCO STOXX EURP 600 OPT BANKS ETF 	Invesco Investment Management Ltd. 	IE00B5MTWD60 
INVESCO STOXX EURP 600 OPT BSC RES ETF 	Invesco Investment Management Ltd. 	IE00B5MTWY73 
INVESCO STOXX EURP 600 OPT CHEMICALS ETF 	Invesco Investment Management Ltd. 	IE00B5MTY077 
INVESCO STOXX EURP 600 OPT CNST&MAT ETF 	Invesco Investment Management Ltd. 	IE00B5MTY309 
INVESCO STOXX EURP 600 OPT FINL SRVS ETF 	Invesco Investment Management Ltd. 	IE00B5MTYK77 
INVESCO STOXX EURP 600 OPT FOOD&BEV ETF 	Invesco Investment Management Ltd. 	IE00B5MTYL84 
INVESCO STOXX EURP 600 OPT HLTH CARE ETF 	Invesco Investment Management Ltd. 	IE00B5MJYY16 
INVESCO STOXX EURP 600 OPT INSURANCE ETF 	Invesco Investment Management Ltd. 	IE00B5MTXJ97 
INVESCO STOXX EURP 600 OPT MEDIA ETF 	Invesco Investment Management Ltd. 	IE00B5MTZ488 
INVESCO STOXX EURP 600 OPT OIL & GAS ETF 	Invesco Investment Management Ltd. 	IE00B5MTWH09 
INVESCO STOXX EURP 600 OPT RETAIL ETF 	Invesco Investment Management Ltd. 	IE00B5MTZM66 
INVESCO STOXX EURP 600 OPT TECHNLGY ETF 	Invesco Investment Management Ltd. 	IE00B5MTWZ80 
INVESCO STOXX EURP 600 OPT TELECOMM ETF 	Invesco Investment Management Ltd. 	IE00B5MJYB88 
INVESCO STOXX EURP 600 OPT TRV& LEISETF 	Invesco Investment Management Ltd. 	IE00B5MJYC95 
INVESCO STOXX EURP 600 OPT UTILITIES ETF 	Invesco Investment Management Ltd. 	IE00B5MTXK03 
INVESCO STOXX EURP 600 OPTAUT & PRTS ETF 	Invesco Investment Management Ltd. 	IE00B5NLX835 
INVESCO STOXX EURP 600 OPTINDGDS&SRVSETF 	Invesco Investment Management Ltd. 	IE00B5MJYX09 
INVESCO US TREASURY BOND ETF 	Invesco Investment Management Ltd. 	IE00BF2GFH28 
INVESCO UTILITIES S&P US SELECT SEC ETF 	Invesco Investment Management Ltd. 	IE00B3VPKB53 
ISH.MSCI.BRAZIL U.ETF DE 	BlackRock Asset Management Deutschland AG (KVG) 	DE000A0Q4R85 
ISHARES AGGREGATE BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B3DKXQ41 
ISHARES CORP BOND 0-3YR ESG ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BYZTVV78 
ISHARES CORP BOND 1-5YR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B4L60045 
ISHARES CORP BOND BBB-BB ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BSKRK281 
ISHARES CORP BOND ESG ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BYZTVT56 
ISHARES CORP BOND EX-FNCL ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B4L5ZG21 
ISHARES CORP BOND FNCL ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B87RLX93 
ISHARES CORP BOND LG CP ETF 	BlackRock Asset Management Ireland Ltd. 	IE0032523478 
ISHARES CORPBD EXFNCL 1-5Y ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B4L5ZY03 
ISHARES CORPBD INTRRT HDG ESG ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B6X2VY59 
ISHARES COVERED BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B3B8Q275 
ISHARES GOVT BD 20Y TGT DUR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BSKRJX20 
ISHARES GOVT BOND 0-1YR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B3FH7618 
ISHARES GOVT BOND 1-3YR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B14X4Q57 
ISHARES GOVT BOND 1-3YR ETF EUR ACC 	BlackRock Asset Management Ireland Ltd. 	IE00B3VTMJ91 
ISHARES GOVT BOND 10-15YR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B4WXJH41 
ISHARES GOVT BOND 15-30YR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B1FZS913 
ISHARES GOVT BOND 3-5YR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B1FZS681 
ISHARES GOVT BOND 3-7YR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B3VTML14 
ISHARES GOVT BOND 5-7YR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B4WXJG34 
ISHARES GOVT BOND 7-10YR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B1FZS806 
ISHARES GOVT BOND 7-10YR ETF EUR ACC 	BlackRock Asset Management Ireland Ltd. 	IE00B3VTN290 
ISHARES GOVT BOND CLIMATE ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BLDGH553 
ISHARES GOVT BOND CLIMATE ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BLDGH447 
ISHARES GREEN BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BMDBMN04 
ISHARES HIGH YIELD CORPBD ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B66F4759 
ISHARES INFLAT LNKD GOVTBD ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B0M62X26 
ISHARES ULTRASHORT BOND ESG ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BJP26D89 
ISHARES ULTRASHORT BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BCRY6557 
ISHARES $ CORP BOND 0-3YR ESG UCITS ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BZ048579 
ISHARES $ CORP BOND ESG ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BK4W7N32 
ISHARES $ CORP BOND ESG ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BH4G7D40 
ISHARES $ CORP BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE0032895942 
ISHARES $ CORP BOND INTR RT H ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BCLWRB83 
ISHARES $ DEVELOPMENT BANK BDS ETF (ACC) 	BlackRock Asset Management Ireland Ltd. 	IE00BMCZLH06 
ISHARES $ FLOATING RATE BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BZ048462 
ISHARES $ FLOATING RATE BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BF11F458 
ISHARES $ HIGH YIELD CORP BOND ESG ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BMDFDY08 
ISHARES $ HIGH YLD CORP BD ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BF3N7102 
ISHARES $ HIGH YLD CORP BD ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B4PY7Y77 
ISHARES $ SHORT DUR CORP BD ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BCRY5Y77 
ISHARES $ SHORT DUR HY CORPBD ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BCRY6003 
ISHARES $ TIPS 0-5 ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BDQYWQ65 
ISHARES $ TIPS ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BDZVH966 
ISHARES $ TIPS ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B1FZSC47 
ISHARES $ TREASURY BD 1-3Y ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BDFK1573 
ISHARES $ TREASURY BD 1-3Y ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B14X4S71 
ISHARES $ TREASURY BD 1-3Y ETF B 	BlackRock Asset Management Ireland Ltd. 	IE00B3VWN179 
ISHARES $ TREASURY BD 20+Y ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BSKRJZ44 
ISHARES $ TREASURY BD 20+Y ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BD8PGZ49 
ISHARES $ TREASURY BD 3-7Y ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BGPP6473 
ISHARES $ TREASURY BD 3-7Y ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B3VWN393 
ISHARES $ TREASURY BD 7-10Y ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BGPP6697 
ISHARES $ TREASURY BD 7-10Y ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B1FZS798 
ISHARES $ TREASURY BD 7-10Y ETF USD ACC 	BlackRock Asset Management Ireland Ltd. 	IE00B3VWN518 
ISHARES $ ULTRASHORT BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BCRY6227 
ISHARES AEX ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B0M62Y33 
ISHARES AGEING POPULATION ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BYZK4669 
ISHARES AGRIBUSINESS ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B6R52143 
ISHARES ASIA PACIFIC DIVIDEND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B14X4T88 
ISHARES ASIA PROPERTY YIELD ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B1FZS244 
ISHARES ATX ETF (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE000A0D8Q23 
ISHARES AUTOMATION&ROBOTICS ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BYZK4552 
ISHARES AUTOMATION&ROBOTICS ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BYWZ0333 
ISHARES BRIC 50 ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B1W57M07 
ISHARES CHINA CNY BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BYPC1H27 
ISHARES CHINA LARGE CAP ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B02KXK85 
ISHARES CORE CORP BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BF11F565 
ISHARES CORE CORP BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B3F81R35 
ISHARES CORE GOVT BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B4WXJJ64 
ISHARES CORE DAX ETF (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE0005933931 
ISHARES CORE EURO STOXX 50 ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B53L3W79 
ISHARES CORE EURO STOXX 50 ETF (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE0005933956 
ISHARES CORE FTSE 100 ETF 	BlackRock Asset Management Ireland Ltd. 	IE0005042456 
ISHARES CORE GLOBAL AGGREGATE BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BF540Y54 
ISHARES CORE GLOBAL AGGREGATE BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BDBRDM35 
ISHARES CORE GLOBAL AGGREGATE BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B3F81409 
ISHARES CORE MSCI EM IMI ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BKM4GZ66 
ISHARES CORE MSCI EM IMI ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BD45KH83 
ISHARES CORE MSCI EMU UCITS ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B53QG562 
ISHARES CORE MSCI EUROPE ETF (ACC) 	BlackRock Asset Management Ireland Ltd. 	IE00B4K48X80 
ISHARES CORE MSCI EUROPE UCITS ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B1YZSC51 
ISHARES CORE MSCI JAPAN IMI ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B4L5YX21 
ISHARES CORE MSCI PAC EX-JPN ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B52MJY50 
ISHARES CORE MSCI WORLD ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BKBF6H24 
ISHARES CORE MSCI WORLD ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B4L5Y983 
ISHARES CORE S&P 500 ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B5BMR087 
ISHARES CORE S&P 500 ETF USD DIST 	BlackRock Asset Management Ireland Ltd. 	IE0031442068 
ISHARES CORE UK GILTS ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B1FZSB30 
ISHARES DAX ESG ETF (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE000A0Q4R69 
ISHARES DEV MKTS PRPTY YLD ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B1FZS350 
ISHARES DIGITAL SECURITY ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BG0J4C88 
ISHARES DIGITAL SECURITY ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BG0J4841 
ISHARES DIGITALISATION ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BYZK4883
ISHARES DIVDAX ETF (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE0002635273 
ISHARES DJ ASIA PACIFIC SEL DIVI 50 (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE000A0H0744 
ISHARES DJ CHINA OFFSHORE 50 ETF (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE000A0F5UE8 
ISHARES DJ EURZNE SUSTAINBLTYSCRNED (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE000A0F5UG3 
ISHARES DJ GLOBAL TITANS 50 ETF (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE0006289382 
ISHARES DJ INDUSTRIAL AVERAGE (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE0006289390 
ISHARES DJ US SELECT DIVIDEND (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE000A0D8Q49 
ISHARES DOW JONES GLB SUST SCRN ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B57X3V84 
ISHARES DOW JONES INDUST AVG ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B53L4350 
ISHARES EB.REXX GOVTGER 1.5-2.5YR (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE0006289473 
ISHARES EB.REXX GOVTGER 10.5+YR (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE000A0D8Q31 
ISHARES EB.REXX GOVTGER 2.5-5.5YR (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE0006289481 
ISHARES EB.REXX GOVTGER 5.5-10.5YR (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE0006289499 
ISHARES EB.REXX GOVTGER ETF (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE0006289465 
ISHARES EB.REXXGOVERNMENT GERMANY 0-1YR 	BlackRock Asset Management Deutschland AG (KVG) 	DE000A0Q4RZ9 
ISHARES EDGE MSCI EM MINI VOL ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B8KGV557 
ISHARES EDGE MSCI EUROPE MIN VOL ESG ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BKVL7D31 
ISHARES EDGE MSCI EURP MINI VOL ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B86MWN23 
ISHARES EDGE MSCI EURP MLTFCTR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BZ0PKV06 
ISHARES EDGE MSCI EURP MOM FCTR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BQN1K786 
ISHARES EDGE MSCI EURP QUALFCTR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BQN1K562 
ISHARES EDGE MSCI EURP SZ FCTR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BQN1KC32 
ISHARES EDGE MSCI EURP VAL FCTR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BQN1K901 
ISHARES EDGE MSCI USA MIN VOL ESG ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BKVL7331 
ISHARES EDGE MSCI USA MLTFCT ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BZ0PKS76 
ISHARES EDGE MSCI USA MOMENTUM FCTR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BD1F4N50 
ISHARES EDGE MSCI USA QUALITY FACTOR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BD1F4L37 
ISHARES EDGE MSCI USA SIZE FACTOR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BD1F4K20 
ISHARES EDGE MSCI USA VALUE FACTOR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BD1F4M44 
ISHARES EDGE MSCI WLD MIN VOL ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BYXPXL17 
ISHARES EDGE MSCI WLD MIN VOL ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BMCZLJ20 
ISHARES EDGE MSCI WLD MIN VOL ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B8FHGS14 
ISHARES EDGE MSCI WLD MLTFCT ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BZ0PKT83 
ISHARES EDGE MSCI WLD MLTFCT ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BYXPXK00 
ISHARES EDGE MSCI WLD MOM FCTR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BP3QZ825 
ISHARES EDGE MSCI WLD QUAL FCTR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BP3QZ601 
ISHARES EDGE MSCI WLD SIZE FCTR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BP3QZD73 
ISHARES EDGE MSCI WLD VAL FCTR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BP3QZB59 
ISHARES EDGE MSCI WORLD MIN VOL ESG ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BKVL7778 
ISHARES EDGE S&P 500 MIN VOL ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BYX8XD24 
ISHARES EDGE S&P 500 MIN VOL ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B6SPMN59 
ISHARES ELECTRIC VHCL AND DRVNG TECH ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BGL86Z12 
ISHARES EM ASIA LCL GOVT BD ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B6QGFW01 
ISHARES EM DIVIDEND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B652H904 
ISHARES EM INFRASTRUCTURE ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B2NPL135 
ISHARES EURO DIVIDEND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B0M62S72 
ISHARES EURO GOVT BD CP 1.5-10.5YR (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE000A0H0785 
ISHARES EURO STOXX (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE000A0D8Q07 
ISHARES EURO STOXX 50 ETF 	BlackRock Asset Management Ireland Ltd. 	IE0008471009 
ISHARES EURO STOXX BANKS 30-15 ETF (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE0006289309 
ISHARES EURO STOXX MID ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B02KXL92 
ISHARES EURO STOXX SELECT DIV 30 (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE0002635281 
ISHARES EURO STOXX SMALL ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B02KXM00 
ISHARES EURO TOTAL MKT GR LG ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B0M62V02 
ISHARES EUROPEAN PRPTY YLD ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BGDQ0L74 
ISHARES EUROPEAN PRPTY YLD ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B0M63284 
ISHARES FALLEN ANGELS HY CORPBD ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BYM31M36 
ISHARES FTSE 100 ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B53HP851 
ISHARES FTSE MIB ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B1XNH568 
ISHARES FTSE MIB ETF (ACC) 	BlackRock Asset Management Ireland Ltd. 	IE00B53L4X51 
ISHARES GERMANY GOVT BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B5V94313 
ISHARES GLOBAL AAA-AA GOVT BD ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B87G8S03 
ISHARES GLOBAL AGGREGATE BOND ESG ETF 	BlackRock Asset Management Ireland Ltd. 	IE000APK27S2 
ISHARES GLOBAL CLEAN ENERGY ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B1XNHC34 
ISHARES GLOBAL CORP BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B7J7TB45 
ISHARES GLOBAL CORP BOND EURH ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B9M6SJ31 
ISHARES GLOBAL GOVT BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B3F81K65 
ISHARES GLOBAL HY CORP BD ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BJSFR200 
ISHARES GLOBAL HY CORP BD ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B74DQ490 
ISHARES GLOBAL INFL LNKD GOVBD ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BKPT2S34 
ISHARES GLOBAL INFL LNKD GOVBD ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B3B8PX14 
ISHARES GLOBAL INFRASTRUCTURE ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B1FZS467 
ISHARES GLOBAL TIMBER&FORESTRY ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B27YCF74 
ISHARES GLOBAL WATER ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B1TXK627 
ISHARES GOLD PRODUCERS ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B6R52036 
ISHARES HEALTHCARE INNOV ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BYZK4776 
ISHARES ITALY GOVT BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B7LW6Y90 
ISHARES JP MORGAN $ EM BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BYXYYK40 
ISHARES JP MORGAN $ EM BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BJ5JPH63 
ISHARES JP MORGAN $ EM BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B2NPKV68 
ISHARES JP MORGAN $ EM BOND EURH ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B9M6RS56 
ISHARES JP MORGAN ESG $ EM BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BKP5L730 
ISHARES JP MORGAN ESG $ EM BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BDDRDW15 
ISHARES JPMORGAN $ EM CORP BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BKT1CS59 
ISHARES JPMORGAN $ EM CORP BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B6TLBW47 
ISHARES JPMORGAN EM LOCAL GOVT BOND ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B5M4WH52 
ISHARES LISTED PRIVATE EQ ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B1TXHL60 
ISHARES MDAX ETF (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE000A2QP349 
ISHARES MDAX ETF (DE) 	BlackRock Asset Management Deutschland AG (KVG) 	DE0005933923 
ISHARES MSCI AC FAR EAST EXJPN ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B0M63730 
ISHARES MSCI AC FAREAST EXJPN SC ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B2QWDR12 
ISHARES MSCI ACWI ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B6R52259 
ISHARES MSCI AUSTRALIA ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B5377D42 
ISHARES MSCI BRAZIL ETF USD DIST 	BlackRock Asset Management Ireland Ltd. 	IE00B0M63516 
ISHARES MSCI CANADA ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B52SF786 
ISHARES MSCI CHINA A ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BQT3WG13 
ISHARES MSCI EM ASIA ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B5L8K969 
ISHARES MSCI EM CONSUMER GR ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BKM4H197 
ISHARES MSCI EM ESG ENHANCED ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BHZPJ239 
ISHARES MSCI EM ETF 	BlackRock Asset Management Ireland Ltd. 	IE00B4L5YC18 
ISHARES MSCI EM ETF USD DIST 	BlackRock Asset Management Ireland Ltd. 	IE00B0M63177 
